[23] ADD,UuEeoiTzyl,102090.50 
[93678] QUOTE,UuEeoiTzyl,NFL 
[93919] DISPLAY_SUMMARY,UuEeoiTzyl 
[93956] QUOTE,UuEeoiTzyl,YBO 
[93997] CANCEL_SET_SELL,UuEeoiTzyl,IFC 
[94013] DISPLAY_SUMMARY,UuEeoiTzyl 
[94063] ADD,UuEeoiTzyl,109631.31 
[94182] CANCEL_SET_SELL,UuEeoiTzyl,HDR 
[94319] QUOTE,UuEeoiTzyl,WRN 
[94458] BUY,UuEeoiTzyl,KQZ,552.01 
[94501] QUOTE,UuEeoiTzyl,FVZ 
[94610] BUY,UuEeoiTzyl,TJL,471.15 
[94641] COMMIT_BUY,UuEeoiTzyl 
[94937] SELL,UuEeoiTzyl,CSZ,85.30 
[95042] COMMIT_SELL,UuEeoiTzyl 
[95128] ADD,UuEeoiTzyl,47440.68 
[95131] CANCEL_BUY,UuEeoiTzyl 
[95154] BUY,UuEeoiTzyl,FCH,408.89 
[95272] COMMIT_BUY,UuEeoiTzyl 
[95326] SET_BUY_AMOUNT,UuEeoiTzyl,CUZ,2.83 
[95335] SET_BUY_TRIGGER,UuEeoiTzyl,ALG,1.14 
[95561] BUY,UuEeoiTzyl,BWR,175.98 
[95608] SET_SELL_AMOUNT,UuEeoiTzyl,GYF,569.64 
[95616] SET_SELL_TRIGGER,UuEeoiTzyl,GYF,0.93 
[95626] DISPLAY_SUMMARY,UuEeoiTzyl 
[95718] DISPLAY_SUMMARY,UuEeoiTzyl 
[96127] COMMIT_BUY,UuEeoiTzyl 
[96183] ADD,UuEeoiTzyl,75451.66 
[96229] BUY,UuEeoiTzyl,AVX,426.08 
[96234] COMMIT_BUY,UuEeoiTzyl 
[96253] QUOTE,UuEeoiTzyl,BFL 
[96575] SELL,UuEeoiTzyl,GRM,8.23 
[96734] CANCEL_SET_BUY,UuEeoiTzyl,SOA 
[96741] SET_BUY_TRIGGER,UuEeoiTzyl,OHG,124.30 
[96875] SELL,UuEeoiTzyl,QAX,661.22 
[97113] CANCEL_SET_BUY,UuEeoiTzyl,YBP 
[97180] DISPLAY_SUMMARY,UuEeoiTzyl 
[97215] SET_BUY_AMOUNT,UuEeoiTzyl,GSW,497.55 
[97308] SET_BUY_TRIGGER,UuEeoiTzyl,ECL,474.86 
[97352] ADD,UuEeoiTzyl,64114.06 
[97359] BUY,UuEeoiTzyl,DXL,265.23 
[97384] COMMIT_BUY,UuEeoiTzyl 
[97453] SELL,UuEeoiTzyl,BCQ,107.19 
[97458] COMMIT_SELL,UuEeoiTzyl 
[97565] DISPLAY_SUMMARY,UuEeoiTzyl 
[97867] ADD,UuEeoiTzyl,79796.21 
[97905] SET_SELL_TRIGGER,UuEeoiTzyl,KNM,42.96 
[98260] DISPLAY_SUMMARY,UuEeoiTzyl 
[98303] ADD,UuEeoiTzyl,74234.37 
[98469] QUOTE,UuEeoiTzyl,VVO 
[98485] BUY,UuEeoiTzyl,YZC,599.75 
[98498] COMMIT_BUY,UuEeoiTzyl 
[98673] DISPLAY_SUMMARY,UuEeoiTzyl 
[98703] ADD,UuEeoiTzyl,91840.22 
[99019] QUOTE,UuEeoiTzyl,DLQ 
[99058] SET_BUY_AMOUNT,UuEeoiTzyl,PTP,198.39 
[99180] QUOTE,UuEeoiTzyl,SKV 
[99250] BUY,UuEeoiTzyl,UUJ,36.70 
[99279] SET_SELL_TRIGGER,UuEeoiTzyl,PBX,69.76 
[99636] DISPLAY_SUMMARY,UuEeoiTzyl 
[99672] SET_SELL_TRIGGER,UuEeoiTzyl,APU,189.66 
[99743] ADD,UuEeoiTzyl,68364.40 
[99804] BUY,UuEeoiTzyl,NJB,335.71 
[99905] COMMIT_BUY,UuEeoiTzyl 
[99985] CANCEL_BUY,UuEeoiTzyl 
