[27] ADD,xETyPXWhj9,56850.01 
[96117] QUOTE,xETyPXWhj9,ZTI 
[96169] SELL,xETyPXWhj9,BCQ,173.34 
[96232] ADD,xETyPXWhj9,74629.27 
[96247] QUOTE,xETyPXWhj9,XOA 
[96426] SET_BUY_AMOUNT,xETyPXWhj9,FDI,68.08 
[96449] SET_BUY_TRIGGER,xETyPXWhj9,DVA,66.18 
[96514] DISPLAY_SUMMARY,xETyPXWhj9 
[96631] ADD,xETyPXWhj9,69615.77 
[97101] BUY,xETyPXWhj9,ZZD,236.50 
[97135] CANCEL_BUY,xETyPXWhj9 
[97319] SET_BUY_TRIGGER,xETyPXWhj9,VOU,114.74 
[97333] CANCEL_BUY,xETyPXWhj9 
[97482] SET_SELL_AMOUNT,xETyPXWhj9,RUN,85.32 
[97550] SET_SELL_TRIGGER,xETyPXWhj9,RUN,66.61 
[97558] SET_SELL_AMOUNT,xETyPXWhj9,JVT,492.30 
[97569] SET_SELL_TRIGGER,xETyPXWhj9,JVT,342.30 
[97708] ADD,xETyPXWhj9,99489.44 
[97723] QUOTE,xETyPXWhj9,OPN 
[98021] BUY,xETyPXWhj9,FXT,423.79 
[98031] CANCEL_SET_SELL,xETyPXWhj9,UEC 
[98193] SELL,xETyPXWhj9,QPR,46.11 
[98363] COMMIT_BUY,xETyPXWhj9 
[98439] SET_BUY_AMOUNT,xETyPXWhj9,ZYR,143.52 
[98494] QUOTE,xETyPXWhj9,ZFK 
[98545] SET_BUY_AMOUNT,xETyPXWhj9,AVX,513.72 
[98738] SET_BUY_TRIGGER,xETyPXWhj9,SJG,186.73 
[98797] SELL,xETyPXWhj9,MFX,711.31 
[98805] SELL,xETyPXWhj9,RNK,154.14 
[98920] QUOTE,xETyPXWhj9,QXW 
[98962] QUOTE,xETyPXWhj9,WYR 
[98980] SET_BUY_AMOUNT,xETyPXWhj9,ZAN,348.81 
[99572] SET_BUY_TRIGGER,xETyPXWhj9,QPE,40.93 
[99626] SET_BUY_AMOUNT,xETyPXWhj9,XXQ,539.52 
[99644] SET_BUY_TRIGGER,xETyPXWhj9,BHH,536.01 
[99706] ADD,xETyPXWhj9,72789.92 
[99922] QUOTE,xETyPXWhj9,GSW 
[99935] BUY,xETyPXWhj9,MOS,332.81 
[99944] CANCEL_SET_SELL,xETyPXWhj9,LLO 
