[18] ADD,8IA1PUK3hd,73742.71 
[95284] ADD,8IA1PUK3hd,30840.72 
[95324] BUY,8IA1PUK3hd,ERF,624.29 
[95421] COMMIT_BUY,8IA1PUK3hd 
[95438] SET_BUY_TRIGGER,8IA1PUK3hd,ZFT,188.36 
[95475] DISPLAY_SUMMARY,8IA1PUK3hd 
[95532] DISPLAY_SUMMARY,8IA1PUK3hd 
[95776] BUY,8IA1PUK3hd,IHW,160.71 
[95927] CANCEL_BUY,8IA1PUK3hd 
[96082] SELL,8IA1PUK3hd,RUN,522.12 
[96303] COMMIT_BUY,8IA1PUK3hd 
[96420] BUY,8IA1PUK3hd,EIH,488.64 
[96446] SET_SELL_AMOUNT,8IA1PUK3hd,HTD,375.16 
[96555] SET_SELL_TRIGGER,8IA1PUK3hd,HTD,216.50 
[96693] QUOTE,8IA1PUK3hd,URD 
[97013] BUY,8IA1PUK3hd,GAV,553.11 
[97033] COMMIT_BUY,8IA1PUK3hd 
[97043] DISPLAY_SUMMARY,8IA1PUK3hd 
[97157] DISPLAY_SUMMARY,8IA1PUK3hd 
[97273] SELL,8IA1PUK3hd,SUS,692.95 
[97355] CANCEL_SELL,8IA1PUK3hd 
[97600] DISPLAY_SUMMARY,8IA1PUK3hd 
[97631] SELL,8IA1PUK3hd,GRM,414.47 
[97719] COMMIT_SELL,8IA1PUK3hd 
[97912] ADD,8IA1PUK3hd,47848.11 
[98090] SET_SELL_AMOUNT,8IA1PUK3hd,ZYR,185.16 
[98186] CANCEL_SET_SELL,8IA1PUK3hd,ZYR 
[98274] SELL,8IA1PUK3hd,FDI,441.96 
[98411] COMMIT_SELL,8IA1PUK3hd 
[98413] QUOTE,8IA1PUK3hd,KYT 
[98417] SET_BUY_TRIGGER,8IA1PUK3hd,DFE,145.57 
[98474] SET_SELL_AMOUNT,8IA1PUK3hd,CSZ,489.96 
[98649] SET_SELL_TRIGGER,8IA1PUK3hd,CSZ,455.92 
[98747] SET_BUY_AMOUNT,8IA1PUK3hd,EBS,77.04 
[98749] SET_BUY_TRIGGER,8IA1PUK3hd,WZM,63.45 
[98765] DISPLAY_SUMMARY,8IA1PUK3hd 
[98846] SET_BUY_AMOUNT,8IA1PUK3hd,FDI,115.56 
[98956] SET_BUY_TRIGGER,8IA1PUK3hd,HSJ,47.31 
[99077] SET_SELL_TRIGGER,8IA1PUK3hd,UTD,124.37 
[99109] DISPLAY_SUMMARY,8IA1PUK3hd 
[99125] COMMIT_SELL,8IA1PUK3hd 
[99168] SET_BUY_AMOUNT,8IA1PUK3hd,SZI,728.35 
[99343] SET_BUY_TRIGGER,8IA1PUK3hd,PNP,499.11 
[99502] QUOTE,8IA1PUK3hd,DMS 
[99516] BUY,8IA1PUK3hd,FCH,410.79 
[99534] SET_BUY_AMOUNT,8IA1PUK3hd,XXQ,421.40 
[99558] BUY,8IA1PUK3hd,FPV,632.37 
[99638] SET_SELL_TRIGGER,8IA1PUK3hd,ECX,3.38 
[99661] DISPLAY_SUMMARY,8IA1PUK3hd 
[99670] ADD,8IA1PUK3hd,55639.47 
[99701] BUY,8IA1PUK3hd,FIC,218.93 
[99708] COMMIT_BUY,8IA1PUK3hd 
[99856] ADD,8IA1PUK3hd,73803.44 
[99981] ADD,8IA1PUK3hd,62384.50 
[99991] QUOTE,8IA1PUK3hd,KWP 
