[34] ADD,g3Xh0OB6vf,68223.85 
[92649] SET_SELL_TRIGGER,g3Xh0OB6vf,YJK,13.69 
[92805] DISPLAY_SUMMARY,g3Xh0OB6vf 
[93052] QUOTE,g3Xh0OB6vf,XXN 
[93237] BUY,g3Xh0OB6vf,CXW,387.24 
[93248] COMMIT_BUY,g3Xh0OB6vf 
[93286] DISPLAY_SUMMARY,g3Xh0OB6vf 
[93301] DISPLAY_SUMMARY,g3Xh0OB6vf 
[93475] SET_SELL_AMOUNT,g3Xh0OB6vf,QJZ,175.25 
[93608] CANCEL_SET_SELL,g3Xh0OB6vf,QJZ 
[93641] ADD,g3Xh0OB6vf,63729.70 
[93693] QUOTE,g3Xh0OB6vf,AVH 
[93735] SET_BUY_TRIGGER,g3Xh0OB6vf,GZU,170.08 
[94056] SET_BUY_TRIGGER,g3Xh0OB6vf,FKI,160.59 
[94061] QUOTE,g3Xh0OB6vf,CLQ 
[94360] BUY,g3Xh0OB6vf,JQJ,686.22 
[94463] SELL,g3Xh0OB6vf,VTY,475.98 
[94477] ADD,g3Xh0OB6vf,57747.44 
[94615] BUY,g3Xh0OB6vf,VMT,594.52 
[94723] COMMIT_BUY,g3Xh0OB6vf 
[94846] SET_BUY_TRIGGER,g3Xh0OB6vf,NSN,29.84 
[94859] DISPLAY_SUMMARY,g3Xh0OB6vf 
[94884] SET_SELL_TRIGGER,g3Xh0OB6vf,OIY,8.12 
[94963] SET_SELL_AMOUNT,g3Xh0OB6vf,CBO,401.14 
[95002] SET_SELL_TRIGGER,g3Xh0OB6vf,CBO,167.95 
[95084] SELL,g3Xh0OB6vf,UBJ,712.84 
[95137] COMMIT_SELL,g3Xh0OB6vf 
[95190] ADD,g3Xh0OB6vf,81620.60 
[95393] BUY,g3Xh0OB6vf,KQZ,383.97 
[95471] QUOTE,g3Xh0OB6vf,JDO 
[95565] BUY,g3Xh0OB6vf,WJP,732.73 
[95821] COMMIT_BUY,g3Xh0OB6vf 
[95989] ADD,g3Xh0OB6vf,42946.10 
[96045] BUY,g3Xh0OB6vf,APU,549.02 
[96130] COMMIT_BUY,g3Xh0OB6vf 
[96207] QUOTE,g3Xh0OB6vf,SYT 
[96230] COMMIT_BUY,g3Xh0OB6vf 
[96254] SET_BUY_TRIGGER,g3Xh0OB6vf,HGG,177.72 
[96356] SET_BUY_TRIGGER,g3Xh0OB6vf,SXB,86.84 
[96390] ADD,g3Xh0OB6vf,82306.27 
[96694] BUY,g3Xh0OB6vf,ESN,348.73 
[96849] CANCEL_BUY,g3Xh0OB6vf 
[97176] SET_SELL_TRIGGER,g3Xh0OB6vf,NSW,13.78 
[97260] QUOTE,g3Xh0OB6vf,GJR 
[97294] COMMIT_BUY,g3Xh0OB6vf 
[97398] SET_SELL_TRIGGER,g3Xh0OB6vf,GKD,106.74 
[97657] DISPLAY_SUMMARY,g3Xh0OB6vf 
[97781] ADD,g3Xh0OB6vf,59189.62 
[97871] QUOTE,g3Xh0OB6vf,HRJ 
[97874] DISPLAY_SUMMARY,g3Xh0OB6vf 
[97973] DISPLAY_SUMMARY,g3Xh0OB6vf 
[97985] DISPLAY_SUMMARY,g3Xh0OB6vf 
[97986] ADD,g3Xh0OB6vf,104638.78 
[97994] QUOTE,g3Xh0OB6vf,WGP 
[98000] SET_BUY_TRIGGER,g3Xh0OB6vf,WZM,0.63 
[98025] DISPLAY_SUMMARY,g3Xh0OB6vf 
[98039] DISPLAY_SUMMARY,g3Xh0OB6vf 
[98055] QUOTE,g3Xh0OB6vf,FTP 
[98089] QUOTE,g3Xh0OB6vf,DJD 
[98224] BUY,g3Xh0OB6vf,JUE,587.59 
[98509] CANCEL_SET_BUY,g3Xh0OB6vf,YWC 
[98513] DISPLAY_SUMMARY,g3Xh0OB6vf 
[98539] SELL,g3Xh0OB6vf,GGI,166.33 
[98588] COMMIT_SELL,g3Xh0OB6vf 
[98981] DISPLAY_SUMMARY,g3Xh0OB6vf 
[99100] DISPLAY_SUMMARY,g3Xh0OB6vf 
[99143] DISPLAY_SUMMARY,g3Xh0OB6vf 
[99286] DISPLAY_SUMMARY,g3Xh0OB6vf 
[99294] ADD,g3Xh0OB6vf,85428.13 
[99319] QUOTE,g3Xh0OB6vf,EYY 
[99365] BUY,g3Xh0OB6vf,IFC,17.34 
[99493] COMMIT_BUY,g3Xh0OB6vf 
[99724] COMMIT_SELL,g3Xh0OB6vf 
[99744] BUY,g3Xh0OB6vf,JMX,746.12 
[99753] CANCEL_BUY,g3Xh0OB6vf 
[99820] SELL,g3Xh0OB6vf,OPN,676.63 
[99824] CANCEL_SET_BUY,g3Xh0OB6vf,DBC 
[99953] DISPLAY_SUMMARY,g3Xh0OB6vf 
