[49] ADD,km22Ao7dfo,69757.94 
[92020] SET_SELL_AMOUNT,km22Ao7dfo,OZO,38.48 
[92216] SET_SELL_TRIGGER,km22Ao7dfo,OZO,28.92 
[92366] DISPLAY_SUMMARY,km22Ao7dfo 
[92379] ADD,km22Ao7dfo,59377.56 
[92515] QUOTE,km22Ao7dfo,LMO 
[92788] QUOTE,km22Ao7dfo,YCH 
[92840] SET_SELL_TRIGGER,km22Ao7dfo,CWA,159.44 
[92918] SELL,km22Ao7dfo,YDS,248.25 
[92919] COMMIT_SELL,km22Ao7dfo 
[93167] ADD,km22Ao7dfo,111041.31 
[93437] BUY,km22Ao7dfo,QNK,254.50 
[93489] COMMIT_BUY,km22Ao7dfo 
[93510] SET_SELL_TRIGGER,km22Ao7dfo,ZRJ,19.83 
[93556] QUOTE,km22Ao7dfo,ZWZ 
[93684] QUOTE,km22Ao7dfo,NOP 
[94033] QUOTE,km22Ao7dfo,PFN 
[94037] CANCEL_SET_SELL,km22Ao7dfo,SKC 
[94076] DISPLAY_SUMMARY,km22Ao7dfo 
[94244] BUY,km22Ao7dfo,JQG,704.44 
[94305] SELL,km22Ao7dfo,UTV,467.72 
[94412] CANCEL_SELL,km22Ao7dfo 
[94499] ADD,km22Ao7dfo,80390.04 
[94606] BUY,km22Ao7dfo,WYR,105.46 
[94608] COMMIT_BUY,km22Ao7dfo 
[94644] QUOTE,km22Ao7dfo,RRT 
[95016] QUOTE,km22Ao7dfo,CXN 
[95028] SET_BUY_AMOUNT,km22Ao7dfo,OZO,281.11 
[95081] SET_BUY_TRIGGER,km22Ao7dfo,HEK,44.31 
[95185] DISPLAY_SUMMARY,km22Ao7dfo 
[95305] SET_BUY_AMOUNT,km22Ao7dfo,NHG,562.64 
[95394] SET_BUY_TRIGGER,km22Ao7dfo,GZQ,170.30 
[95408] SET_BUY_TRIGGER,km22Ao7dfo,VNO,59.99 
[95497] DISPLAY_SUMMARY,km22Ao7dfo 
[95499] ADD,km22Ao7dfo,70758.54 
[95617] SELL,km22Ao7dfo,FDI,180.25 
[95724] BUY,km22Ao7dfo,PUN,118.15 
[95754] SET_BUY_AMOUNT,km22Ao7dfo,CUZ,735.35 
[95782] SET_BUY_TRIGGER,km22Ao7dfo,KJH,298.22 
[96131] SET_SELL_AMOUNT,km22Ao7dfo,IFN,541.29 
[96213] SET_SELL_TRIGGER,km22Ao7dfo,IFN,472.46 
[96284] COMMIT_SELL,km22Ao7dfo 
[96311] ADD,km22Ao7dfo,55236.21 
[96395] QUOTE,km22Ao7dfo,OIV 
[96400] ADD,km22Ao7dfo,83618.75 
[96754] BUY,km22Ao7dfo,JVT,75.95 
[96801] COMMIT_BUY,km22Ao7dfo 
[96959] SELL,km22Ao7dfo,ZTI,70.26 
[96981] QUOTE,km22Ao7dfo,LLO 
[97008] BUY,km22Ao7dfo,VOU,416.38 
[97278] CANCEL_BUY,km22Ao7dfo 
[97293] BUY,km22Ao7dfo,HGG,331.67 
[97318] CANCEL_BUY,km22Ao7dfo 
[97669] ADD,km22Ao7dfo,52232.39 
[97850] QUOTE,km22Ao7dfo,WZM 
[97974] QUOTE,km22Ao7dfo,FGI 
[98045] DISPLAY_SUMMARY,km22Ao7dfo 
[98309] DISPLAY_SUMMARY,km22Ao7dfo 
[98334] QUOTE,km22Ao7dfo,YOQ 
[98376] ADD,km22Ao7dfo,64900.17 
[98430] QUOTE,km22Ao7dfo,KZZ 
[98489] BUY,km22Ao7dfo,NJI,415.93 
[98691] SET_BUY_TRIGGER,km22Ao7dfo,ZOZ,183.90 
[98823] SET_SELL_TRIGGER,km22Ao7dfo,PNP,12.84 
[98843] QUOTE,km22Ao7dfo,QVK 
[99097] SET_BUY_TRIGGER,km22Ao7dfo,JUV,135.22 
[99246] SET_SELL_AMOUNT,km22Ao7dfo,IFN,124.96 
[99329] SET_SELL_TRIGGER,km22Ao7dfo,IFN,53.13 
[99425] ADD,km22Ao7dfo,74501.22 
[99573] QUOTE,km22Ao7dfo,AEM 
[99822] COMMIT_BUY,km22Ao7dfo 
