[212] ADD,7Jo2brvLiF,94714.38 
[94434] SET_SELL_AMOUNT,7Jo2brvLiF,QAX,338.42 
[94498] SET_SELL_TRIGGER,7Jo2brvLiF,QAX,296.65 
[94591] SET_SELL_TRIGGER,7Jo2brvLiF,HTN,54.03 
[94714] BUY,7Jo2brvLiF,RNE,481.18 
[94768] CANCEL_SET_SELL,7Jo2brvLiF,YDD 
[94832] SET_SELL_AMOUNT,7Jo2brvLiF,UIE,50.05 
[94845] SET_SELL_TRIGGER,7Jo2brvLiF,UIE,36.93 
[94944] BUY,7Jo2brvLiF,OYS,334.74 
[94990] COMMIT_BUY,7Jo2brvLiF 
[95053] SET_BUY_TRIGGER,7Jo2brvLiF,MQX,108.14 
[95125] SET_SELL_TRIGGER,7Jo2brvLiF,HNO,135.55 
[95126] BUY,7Jo2brvLiF,OQZ,748.66 
[95198] DISPLAY_SUMMARY,7Jo2brvLiF 
[95238] BUY,7Jo2brvLiF,KVJ,746.43 
[95247] COMMIT_SELL,7Jo2brvLiF 
[95276] SET_SELL_TRIGGER,7Jo2brvLiF,JPD,148.70 
[95299] SET_SELL_TRIGGER,7Jo2brvLiF,OYS,138.92 
[95347] QUOTE,7Jo2brvLiF,ZRJ 
[95350] ADD,7Jo2brvLiF,77546.20 
[95353] BUY,7Jo2brvLiF,CLQ,743.15 
[95354] CANCEL_SET_SELL,7Jo2brvLiF,UEC 
[95396] DISPLAY_SUMMARY,7Jo2brvLiF 
[95477] SET_BUY_AMOUNT,7Jo2brvLiF,MXD,288.34 
[95522] CANCEL_SET_BUY,7Jo2brvLiF,JSM 
[95534] SET_SELL_AMOUNT,7Jo2brvLiF,YJK,700.62 
[95716] SET_SELL_TRIGGER,7Jo2brvLiF,YJK,678.41 
[95785] SET_BUY_AMOUNT,7Jo2brvLiF,HTD,306.41 
[95788] SET_BUY_TRIGGER,7Jo2brvLiF,MHQ,158.20 
[95883] ADD,7Jo2brvLiF,68085.43 
[95897] BUY,7Jo2brvLiF,HZA,520.30 
[95922] COMMIT_BUY,7Jo2brvLiF 
[96033] SET_SELL_TRIGGER,7Jo2brvLiF,WGP,183.91 
[96308] DISPLAY_SUMMARY,7Jo2brvLiF 
[96459] DISPLAY_SUMMARY,7Jo2brvLiF 
[96494] CANCEL_SELL,7Jo2brvLiF 
[96713] ADD,7Jo2brvLiF,83449.54 
[96771] BUY,7Jo2brvLiF,AEM,732.64 
[96772] COMMIT_BUY,7Jo2brvLiF 
[96947] BUY,7Jo2brvLiF,ULL,413.87 
[97018] COMMIT_BUY,7Jo2brvLiF 
[97116] COMMIT_SELL,7Jo2brvLiF 
[97204] SET_SELL_AMOUNT,7Jo2brvLiF,JCQ,531.17 
[97223] SET_SELL_TRIGGER,7Jo2brvLiF,JCQ,30.44 
[97296] SET_SELL_TRIGGER,7Jo2brvLiF,MMY,49.68 
[97414] QUOTE,7Jo2brvLiF,DES 
[97492] COMMIT_SELL,7Jo2brvLiF 
[97634] COMMIT_SELL,7Jo2brvLiF 
[98047] QUOTE,7Jo2brvLiF,ATW 
[98124] QUOTE,7Jo2brvLiF,ZCQ 
[98131] SET_BUY_AMOUNT,7Jo2brvLiF,JUN,395.85 
[98148] SET_BUY_TRIGGER,7Jo2brvLiF,DVA,237.41 
[98164] SET_BUY_TRIGGER,7Jo2brvLiF,CCH,167.98 
[98222] BUY,7Jo2brvLiF,SCW,745.58 
[98256] COMMIT_BUY,7Jo2brvLiF 
[98517] SELL,7Jo2brvLiF,HTD,552.70 
[98672] COMMIT_SELL,7Jo2brvLiF 
[98754] DISPLAY_SUMMARY,7Jo2brvLiF 
[98759] SET_SELL_AMOUNT,7Jo2brvLiF,ZER,639.42 
[98937] SET_SELL_TRIGGER,7Jo2brvLiF,ZER,79.23 
[98944] ADD,7Jo2brvLiF,68454.09 
[98963] BUY,7Jo2brvLiF,GUW,357.09 
[98991] COMMIT_BUY,7Jo2brvLiF 
[99078] SET_SELL_TRIGGER,7Jo2brvLiF,AEM,59.29 
[99105] SET_SELL_AMOUNT,7Jo2brvLiF,KDA,449.37 
[99148] CANCEL_SET_SELL,7Jo2brvLiF,KDA 
[99528] SET_SELL_AMOUNT,7Jo2brvLiF,RNK,150.96 
[99566] SET_SELL_TRIGGER,7Jo2brvLiF,RNK,128.08 
[99778] CANCEL_SET_SELL,7Jo2brvLiF,PHU 
[99956] ADD,7Jo2brvLiF,56603.99 
