[57] ADD,nV1jqGc3b6,70407.89 
[89082] ADD,nV1jqGc3b6,66482.30 
[89129] QUOTE,nV1jqGc3b6,ZTI 
[89481] QUOTE,nV1jqGc3b6,FQG 
[89558] QUOTE,nV1jqGc3b6,MVY 
[89626] BUY,nV1jqGc3b6,OSC,546.72 
[89742] CANCEL_BUY,nV1jqGc3b6 
[89744] SET_SELL_AMOUNT,nV1jqGc3b6,XLK,657.05 
[89773] SET_SELL_TRIGGER,nV1jqGc3b6,XLK,523.99 
[89914] SELL,nV1jqGc3b6,QGE,697.79 
[90075] COMMIT_SELL,nV1jqGc3b6 
[90079] SET_BUY_TRIGGER,nV1jqGc3b6,NGG,113.17 
[90378] SET_SELL_AMOUNT,nV1jqGc3b6,BJL,337.99 
[90579] SET_SELL_TRIGGER,nV1jqGc3b6,BJL,96.72 
[90615] ADD,nV1jqGc3b6,87817.07 
[90779] CANCEL_SET_SELL,nV1jqGc3b6,ZJQ 
[91010] DISPLAY_SUMMARY,nV1jqGc3b6 
[91032] DISPLAY_SUMMARY,nV1jqGc3b6 
[91056] SET_BUY_AMOUNT,nV1jqGc3b6,XXQ,50.01 
[91150] SET_BUY_TRIGGER,nV1jqGc3b6,ZFK,9.65 
[91156] SET_SELL_AMOUNT,nV1jqGc3b6,CBO,692.53 
[91258] CANCEL_SET_SELL,nV1jqGc3b6,CBO 
[91337] SELL,nV1jqGc3b6,QAX,106.08 
[91482] CANCEL_SET_SELL,nV1jqGc3b6,NSN 
[91515] SET_SELL_AMOUNT,nV1jqGc3b6,AVX,77.16 
[91735] QUOTE,nV1jqGc3b6,VEN 
[92086] DISPLAY_SUMMARY,nV1jqGc3b6 
[92133] DISPLAY_SUMMARY,nV1jqGc3b6 
[92140] COMMIT_BUY,nV1jqGc3b6 
[92245] CANCEL_BUY,nV1jqGc3b6 
[92321] QUOTE,nV1jqGc3b6,ZRH 
[92349] CANCEL_SET_BUY,nV1jqGc3b6,XFH 
[92431] ADD,nV1jqGc3b6,62071.80 
[92818] BUY,nV1jqGc3b6,SOT,671.58 
[93041] SET_BUY_AMOUNT,nV1jqGc3b6,LZV,361.94 
[93164] SET_BUY_TRIGGER,nV1jqGc3b6,SYT,201.50 
[93222] ADD,nV1jqGc3b6,43030.31 
[93230] BUY,nV1jqGc3b6,KYT,670.90 
[93300] CANCEL_SET_BUY,nV1jqGc3b6,NFQ 
[93344] COMMIT_SELL,nV1jqGc3b6 
[93388] SET_BUY_AMOUNT,nV1jqGc3b6,XLK,337.41 
[93674] CANCEL_SET_BUY,nV1jqGc3b6,RUN 
[93849] SET_BUY_TRIGGER,nV1jqGc3b6,ZJG,55.93 
[93955] SET_SELL_TRIGGER,nV1jqGc3b6,AVX,34.72 
[94163] ADD,nV1jqGc3b6,35010.25 
[94298] QUOTE,nV1jqGc3b6,OYS 
[94426] SET_BUY_TRIGGER,nV1jqGc3b6,WCR,10.52 
[94470] DISPLAY_SUMMARY,nV1jqGc3b6 
[94540] SET_SELL_AMOUNT,nV1jqGc3b6,VTY,301.03 
[94814] SET_SELL_TRIGGER,nV1jqGc3b6,VTY,0.82 
[94948] DISPLAY_SUMMARY,nV1jqGc3b6 
[95156] BUY,nV1jqGc3b6,FOV,181.59 
[95465] COMMIT_BUY,nV1jqGc3b6 
[95602] SELL,nV1jqGc3b6,GRM,76.22 
[95633] COMMIT_SELL,nV1jqGc3b6 
[95684] QUOTE,nV1jqGc3b6,TVI 
[95719] BUY,nV1jqGc3b6,YRO,331.14 
[95846] COMMIT_BUY,nV1jqGc3b6 
[95850] DISPLAY_SUMMARY,nV1jqGc3b6 
[95919] QUOTE,nV1jqGc3b6,DNJ 
[96287] ADD,nV1jqGc3b6,63799.81 
[96320] BUY,nV1jqGc3b6,YGK,540.31 
[96511] COMMIT_BUY,nV1jqGc3b6 
[96551] SET_SELL_TRIGGER,nV1jqGc3b6,UGT,132.75 
[96579] DISPLAY_SUMMARY,nV1jqGc3b6 
[96615] DISPLAY_SUMMARY,nV1jqGc3b6 
[96808] DISPLAY_SUMMARY,nV1jqGc3b6 
[96817] ADD,nV1jqGc3b6,55317.15 
[96909] QUOTE,nV1jqGc3b6,WUF 
[96954] SET_BUY_AMOUNT,nV1jqGc3b6,VDP,83.31 
[96998] QUOTE,nV1jqGc3b6,MUN 
[97097] BUY,nV1jqGc3b6,HMR,158.99 
[97388] COMMIT_BUY,nV1jqGc3b6 
[97402] SET_SELL_TRIGGER,nV1jqGc3b6,BEG,18.06 
[97611] SELL,nV1jqGc3b6,HFS,172.70 
[97744] COMMIT_SELL,nV1jqGc3b6 
[97748] ADD,nV1jqGc3b6,72582.27 
[97900] BUY,nV1jqGc3b6,PMG,215.71 
[97947] COMMIT_SELL,nV1jqGc3b6 
[97971] QUOTE,nV1jqGc3b6,QOD 
[97990] ADD,nV1jqGc3b6,77390.83 
[98221] CANCEL_BUY,nV1jqGc3b6 
[98688] SET_BUY_TRIGGER,nV1jqGc3b6,FCM,70.06 
[98715] SET_BUY_TRIGGER,nV1jqGc3b6,FMJ,197.47 
[98780] ADD,nV1jqGc3b6,70207.83 
[98833] BUY,nV1jqGc3b6,JJW,250.88 
[99088] DISPLAY_SUMMARY,nV1jqGc3b6 
[99131] SET_SELL_AMOUNT,nV1jqGc3b6,HTD,410.16 
[99152] SET_SELL_TRIGGER,nV1jqGc3b6,HTD,148.30 
[99367] CANCEL_SET_SELL,nV1jqGc3b6,MIY 
[99583] SET_SELL_AMOUNT,nV1jqGc3b6,JRJ,240.23 
[99691] SET_SELL_TRIGGER,nV1jqGc3b6,JRJ,69.11 
[99733] SET_SELL_AMOUNT,nV1jqGc3b6,SSF,378.62 
[99810] DISPLAY_SUMMARY,nV1jqGc3b6 
[99830] SET_BUY_AMOUNT,nV1jqGc3b6,QVA,556.55 
[99895] SET_BUY_TRIGGER,nV1jqGc3b6,OGB,384.97 
[99980] SET_BUY_TRIGGER,nV1jqGc3b6,FKZ,51.76 
