[293] ADD,ooUBBK63Qe,53157.82 
[93517] BUY,ooUBBK63Qe,DWC,128.65 
[93520] CANCEL_SELL,ooUBBK63Qe 
[93537] DISPLAY_SUMMARY,ooUBBK63Qe 
[93696] BUY,ooUBBK63Qe,NSN,294.21 
[93844] SET_BUY_AMOUNT,ooUBBK63Qe,KDA,335.57 
[93897] SET_BUY_TRIGGER,ooUBBK63Qe,NTB,85.44 
[93932] SET_BUY_AMOUNT,ooUBBK63Qe,EBS,312.23 
[93990] SET_BUY_TRIGGER,ooUBBK63Qe,AQO,16.50 
[94078] SET_SELL_AMOUNT,ooUBBK63Qe,ZAN,79.42 
[94230] SET_SELL_TRIGGER,ooUBBK63Qe,ZAN,67.52 
[94293] SET_SELL_AMOUNT,ooUBBK63Qe,SSF,694.93 
[94321] DISPLAY_SUMMARY,ooUBBK63Qe 
[94380] QUOTE,ooUBBK63Qe,RVZ 
[94645] QUOTE,ooUBBK63Qe,PVH 
[94658] ADD,ooUBBK63Qe,76231.31 
[94720] QUOTE,ooUBBK63Qe,BSG 
[95005] BUY,ooUBBK63Qe,PGV,469.99 
[95342] COMMIT_BUY,ooUBBK63Qe 
[95410] BUY,ooUBBK63Qe,SVV,27.25 
[95468] COMMIT_BUY,ooUBBK63Qe 
[95510] DISPLAY_SUMMARY,ooUBBK63Qe 
[95552] ADD,ooUBBK63Qe,83136.28 
[95622] BUY,ooUBBK63Qe,XLV,504.33 
[95690] COMMIT_BUY,ooUBBK63Qe 
[95845] DISPLAY_SUMMARY,ooUBBK63Qe 
[95992] SELL,ooUBBK63Qe,GRM,301.48 
[96179] CANCEL_SELL,ooUBBK63Qe 
[96298] ADD,ooUBBK63Qe,62689.68 
[96318] BUY,ooUBBK63Qe,KCS,208.63 
[96528] COMMIT_BUY,ooUBBK63Qe 
[96604] ADD,ooUBBK63Qe,64772.85 
[96687] QUOTE,ooUBBK63Qe,SAJ 
[96971] SELL,ooUBBK63Qe,QPR,14.70 
[96973] COMMIT_SELL,ooUBBK63Qe 
[97017] DISPLAY_SUMMARY,ooUBBK63Qe 
[97126] SELL,ooUBBK63Qe,XQC,482.14 
[97134] COMMIT_SELL,ooUBBK63Qe 
[97233] DISPLAY_SUMMARY,ooUBBK63Qe 
[97270] QUOTE,ooUBBK63Qe,RLS 
[97378] SET_BUY_TRIGGER,ooUBBK63Qe,ZEU,173.17 
[97421] SELL,ooUBBK63Qe,RNK,173.42 
[97452] SET_BUY_AMOUNT,ooUBBK63Qe,XXQ,670.34 
[97495] SET_BUY_TRIGGER,ooUBBK63Qe,ALG,230.59 
[97527] CANCEL_BUY,ooUBBK63Qe 
[97646] BUY,ooUBBK63Qe,CBO,685.36 
[97711] COMMIT_BUY,ooUBBK63Qe 
[97906] SELL,ooUBBK63Qe,VTY,404.46 
[98108] CANCEL_SELL,ooUBBK63Qe 
[98230] DISPLAY_SUMMARY,ooUBBK63Qe 
[98234] SET_SELL_TRIGGER,ooUBBK63Qe,SSF,313.38 
[98248] DISPLAY_SUMMARY,ooUBBK63Qe 
[98281] ADD,ooUBBK63Qe,73827.50 
[98286] BUY,ooUBBK63Qe,EMN,720.12 
[98379] COMMIT_BUY,ooUBBK63Qe 
[98403] QUOTE,ooUBBK63Qe,IKK 
[98406] BUY,ooUBBK63Qe,JRJ,290.55 
[98549] ADD,ooUBBK63Qe,51093.14 
[98573] QUOTE,ooUBBK63Qe,WDJ 
[98699] COMMIT_SELL,ooUBBK63Qe 
[98858] SET_BUY_AMOUNT,ooUBBK63Qe,OPN,667.43 
[98953] SET_BUY_TRIGGER,ooUBBK63Qe,EUC,329.54 
[99191] SET_BUY_TRIGGER,ooUBBK63Qe,MRH,195.28 
[99192] SET_SELL_TRIGGER,ooUBBK63Qe,OKK,68.27 
[99260] ADD,ooUBBK63Qe,76570.21 
[99268] QUOTE,ooUBBK63Qe,JCQ 
[99299] DISPLAY_SUMMARY,ooUBBK63Qe 
[99348] QUOTE,ooUBBK63Qe,XER 
[99354] COMMIT_BUY,ooUBBK63Qe 
[99819] ADD,ooUBBK63Qe,55732.09 
[99844] BUY,ooUBBK63Qe,STQ,353.16 
[99910] COMMIT_BUY,ooUBBK63Qe 
