[17] ADD,e7Zw0RBCl6,80205.43 
[89364] COMMIT_BUY,e7Zw0RBCl6 
[89377] QUOTE,e7Zw0RBCl6,DJD 
[89399] DISPLAY_SUMMARY,e7Zw0RBCl6 
[89647] ADD,e7Zw0RBCl6,55347.50 
[89790] BUY,e7Zw0RBCl6,AQO,475.65 
[89926] COMMIT_BUY,e7Zw0RBCl6 
[90067] ADD,e7Zw0RBCl6,77864.14 
[90129] BUY,e7Zw0RBCl6,KJM,169.15 
[90473] COMMIT_BUY,e7Zw0RBCl6 
[90506] SELL,e7Zw0RBCl6,FQP,734.98 
[90553] CANCEL_SET_BUY,e7Zw0RBCl6,FKI 
[90662] QUOTE,e7Zw0RBCl6,RGH 
[90688] BUY,e7Zw0RBCl6,NDJ,181.71 
[90745] COMMIT_BUY,e7Zw0RBCl6 
[90950] DISPLAY_SUMMARY,e7Zw0RBCl6 
[91016] ADD,e7Zw0RBCl6,92364.21 
[91160] BUY,e7Zw0RBCl6,RVZ,421.03 
[91330] CANCEL_BUY,e7Zw0RBCl6 
[91448] BUY,e7Zw0RBCl6,GAL,212.60 
[91493] CANCEL_SELL,e7Zw0RBCl6 
[91548] ADD,e7Zw0RBCl6,54940.90 
[91683] ADD,e7Zw0RBCl6,79779.15 
[91685] QUOTE,e7Zw0RBCl6,OLI 
[91706] SET_BUY_TRIGGER,e7Zw0RBCl6,BEC,120.66 
[91708] SET_SELL_AMOUNT,e7Zw0RBCl6,SZI,697.94 
[91882] CANCEL_SET_SELL,e7Zw0RBCl6,SZI 
[92115] SELL,e7Zw0RBCl6,BCQ,699.07 
[92194] COMMIT_SELL,e7Zw0RBCl6 
[92411] SET_BUY_AMOUNT,e7Zw0RBCl6,YDS,584.68 
[92418] SET_BUY_TRIGGER,e7Zw0RBCl6,GMF,570.01 
[92665] SET_SELL_TRIGGER,e7Zw0RBCl6,UMV,106.04 
[92754] SET_SELL_TRIGGER,e7Zw0RBCl6,OTQ,91.72 
[92883] DISPLAY_SUMMARY,e7Zw0RBCl6 
[93004] SELL,e7Zw0RBCl6,VTY,257.34 
[93155] SET_BUY_AMOUNT,e7Zw0RBCl6,BYA,197.93 
[93306] SET_BUY_TRIGGER,e7Zw0RBCl6,KGA,85.79 
[93350] BUY,e7Zw0RBCl6,GPM,462.39 
[93387] COMMIT_BUY,e7Zw0RBCl6 
[93528] SET_BUY_AMOUNT,e7Zw0RBCl6,VTY,385.62 
[93676] BUY,e7Zw0RBCl6,QQI,653.13 
[93782] CANCEL_BUY,e7Zw0RBCl6 
[93796] ADD,e7Zw0RBCl6,69122.71 
[94029] BUY,e7Zw0RBCl6,OOI,189.52 
[94268] COMMIT_BUY,e7Zw0RBCl6 
[94277] CANCEL_SELL,e7Zw0RBCl6 
[94329] SET_SELL_TRIGGER,e7Zw0RBCl6,WBL,20.27 
[94419] QUOTE,e7Zw0RBCl6,DRO 
[94546] BUY,e7Zw0RBCl6,GUB,352.64 
[94688] COMMIT_BUY,e7Zw0RBCl6 
[94870] SET_SELL_AMOUNT,e7Zw0RBCl6,MWJ,554.80 
[94885] SET_SELL_TRIGGER,e7Zw0RBCl6,MWJ,268.78 
[94931] DISPLAY_SUMMARY,e7Zw0RBCl6 
[95170] BUY,e7Zw0RBCl6,PXS,195.98 
[95251] COMMIT_BUY,e7Zw0RBCl6 
[95315] QUOTE,e7Zw0RBCl6,WNH 
[95344] BUY,e7Zw0RBCl6,NGB,215.70 
[95442] SELL,e7Zw0RBCl6,BYA,73.92 
[95447] COMMIT_SELL,e7Zw0RBCl6 
[95456] CANCEL_SET_BUY,e7Zw0RBCl6,KIP 
[95472] DISPLAY_SUMMARY,e7Zw0RBCl6 
[95667] BUY,e7Zw0RBCl6,LKV,60.67 
[95755] COMMIT_BUY,e7Zw0RBCl6 
[95816] SET_SELL_TRIGGER,e7Zw0RBCl6,XAN,31.40 
[95907] SET_SELL_AMOUNT,e7Zw0RBCl6,CUZ,490.06 
[95916] BUY,e7Zw0RBCl6,RQL,281.57 
[96038] COMMIT_BUY,e7Zw0RBCl6 
[96345] QUOTE,e7Zw0RBCl6,ZNL 
[96360] BUY,e7Zw0RBCl6,GZQ,479.91 
[96375] SET_SELL_TRIGGER,e7Zw0RBCl6,CUZ,422.33 
[96394] SET_SELL_TRIGGER,e7Zw0RBCl6,MIY,164.95 
[96398] SELL,e7Zw0RBCl6,KES,376.08 
[96457] CANCEL_SELL,e7Zw0RBCl6 
[96476] COMMIT_SELL,e7Zw0RBCl6 
[96553] SET_SELL_AMOUNT,e7Zw0RBCl6,TVI,159.63 
[96887] SET_SELL_TRIGGER,e7Zw0RBCl6,TVI,37.38 
[96941] COMMIT_SELL,e7Zw0RBCl6 
[97138] DISPLAY_SUMMARY,e7Zw0RBCl6 
[97189] SET_BUY_TRIGGER,e7Zw0RBCl6,YZH,20.25 
[97304] COMMIT_SELL,e7Zw0RBCl6 
[97348] SET_BUY_TRIGGER,e7Zw0RBCl6,YUR,82.16 
[97395] SET_BUY_AMOUNT,e7Zw0RBCl6,UIE,434.85 
[97409] SET_BUY_TRIGGER,e7Zw0RBCl6,TWJ,73.63 
[97621] ADD,e7Zw0RBCl6,79334.16 
[97695] BUY,e7Zw0RBCl6,TKM,263.27 
[98010] COMMIT_BUY,e7Zw0RBCl6 
[98030] SET_BUY_TRIGGER,e7Zw0RBCl6,EAK,30.99 
[98209] SET_BUY_TRIGGER,e7Zw0RBCl6,APY,23.35 
[98253] DISPLAY_SUMMARY,e7Zw0RBCl6 
[98254] COMMIT_BUY,e7Zw0RBCl6 
[98476] ADD,e7Zw0RBCl6,64422.84 
[98551] BUY,e7Zw0RBCl6,QTH,57.67 
[98593] COMMIT_SELL,e7Zw0RBCl6 
[98767] DISPLAY_SUMMARY,e7Zw0RBCl6 
[98812] SET_SELL_AMOUNT,e7Zw0RBCl6,UBJ,675.74 
[98813] DISPLAY_SUMMARY,e7Zw0RBCl6 
[98902] SET_SELL_TRIGGER,e7Zw0RBCl6,UBJ,6.04 
[98942] CANCEL_SELL,e7Zw0RBCl6 
[98961] ADD,e7Zw0RBCl6,90438.69 
[98986] QUOTE,e7Zw0RBCl6,HTD 
[99091] SET_BUY_AMOUNT,e7Zw0RBCl6,VTY,342.48 
[99118] SET_BUY_TRIGGER,e7Zw0RBCl6,SOT,302.31 
[99170] QUOTE,e7Zw0RBCl6,KTU 
[99328] QUOTE,e7Zw0RBCl6,YJK 
[99424] ADD,e7Zw0RBCl6,64237.86 
[99464] QUOTE,e7Zw0RBCl6,KIP 
[99561] CANCEL_SET_SELL,e7Zw0RBCl6,ZYR 
[99796] SET_BUY_AMOUNT,e7Zw0RBCl6,HTD,648.17 
[99917] SET_BUY_TRIGGER,e7Zw0RBCl6,JQG,493.67 
[99984] SET_SELL_AMOUNT,e7Zw0RBCl6,OEY,288.91 
