[87] ADD,AwEXQhdKGW,84874.28 
[95923] SET_SELL_AMOUNT,AwEXQhdKGW,JZJ,3.44 
[95967] SET_SELL_TRIGGER,AwEXQhdKGW,JZJ,2.11 
[96336] CANCEL_SET_BUY,AwEXQhdKGW,XLK 
[96490] ADD,AwEXQhdKGW,78845.28 
[96607] QUOTE,AwEXQhdKGW,AMI 
[96675] SET_BUY_TRIGGER,AwEXQhdKGW,YEH,48.09 
[96740] SET_BUY_TRIGGER,AwEXQhdKGW,YZC,82.43 
[96743] ADD,AwEXQhdKGW,49517.27 
[96828] QUOTE,AwEXQhdKGW,JPP 
[96932] BUY,AwEXQhdKGW,TQX,479.43 
[97059] QUOTE,AwEXQhdKGW,ZGN 
[97151] BUY,AwEXQhdKGW,YMG,585.34 
[97165] CANCEL_BUY,AwEXQhdKGW 
[97225] ADD,AwEXQhdKGW,58382.33 
[97314] DISPLAY_SUMMARY,AwEXQhdKGW 
[97334] SET_SELL_AMOUNT,AwEXQhdKGW,XXQ,724.28 
[97455] SET_SELL_TRIGGER,AwEXQhdKGW,XXQ,231.47 
[97609] ADD,AwEXQhdKGW,87720.16 
[97630] BUY,AwEXQhdKGW,AZN,545.05 
[97692] COMMIT_BUY,AwEXQhdKGW 
[97735] ADD,AwEXQhdKGW,81060.67 
[97860] SET_BUY_TRIGGER,AwEXQhdKGW,HHG,42.13 
[97898] ADD,AwEXQhdKGW,57960.27 
[98119] QUOTE,AwEXQhdKGW,QTU 
[98157] QUOTE,AwEXQhdKGW,CSZ 
[98245] QUOTE,AwEXQhdKGW,VMK 
[98283] SET_BUY_TRIGGER,AwEXQhdKGW,DBR,81.53 
[98321] ADD,AwEXQhdKGW,84663.45 
[98426] QUOTE,AwEXQhdKGW,QQW 
[98602] BUY,AwEXQhdKGW,NAW,631.02 
[98837] CANCEL_SELL,AwEXQhdKGW 
[98884] ADD,AwEXQhdKGW,79784.18 
[98943] BUY,AwEXQhdKGW,FKZ,157.25 
[99122] SET_SELL_AMOUNT,AwEXQhdKGW,VTY,346.85 
[99165] SELL,AwEXQhdKGW,JZJ,16.26 
[99176] SELL,AwEXQhdKGW,UTV,465.78 
[99313] COMMIT_SELL,AwEXQhdKGW 
[99419] SET_BUY_AMOUNT,AwEXQhdKGW,RNK,457.29 
[99441] SET_BUY_TRIGGER,AwEXQhdKGW,XNZ,183.97 
[99500] SELL,AwEXQhdKGW,RUN,704.40 
[99748] CANCEL_SELL,AwEXQhdKGW 
[99751] ADD,AwEXQhdKGW,90575.01 
