[64] ADD,YBTGw9v3Cl,92687.90 
[89551] QUOTE,YBTGw9v3Cl,VND 
[89673] BUY,YBTGw9v3Cl,ZZN,389.38 
[89824] QUOTE,YBTGw9v3Cl,JKX 
[89896] ADD,YBTGw9v3Cl,92525.35 
[90022] ADD,YBTGw9v3Cl,48959.60 
[90046] QUOTE,YBTGw9v3Cl,CAX 
[90539] ADD,YBTGw9v3Cl,77042.17 
[90617] QUOTE,YBTGw9v3Cl,NGB 
[90626] CANCEL_SELL,YBTGw9v3Cl 
[90636] SET_SELL_TRIGGER,YBTGw9v3Cl,MOF,166.45 
[90828] DISPLAY_SUMMARY,YBTGw9v3Cl 
[90894] SELL,YBTGw9v3Cl,YDS,507.06 
[91103] SET_BUY_TRIGGER,YBTGw9v3Cl,KQZ,5.62 
[91189] SELL,YBTGw9v3Cl,ZAN,205.92 
[91213] BUY,YBTGw9v3Cl,NJB,617.42 
[91563] COMMIT_BUY,YBTGw9v3Cl 
[91653] QUOTE,YBTGw9v3Cl,JII 
[91654] BUY,YBTGw9v3Cl,WJB,196.25 
[91839] COMMIT_BUY,YBTGw9v3Cl 
[91863] ADD,YBTGw9v3Cl,69392.62 
[92098] QUOTE,YBTGw9v3Cl,PVH 
[92127] SELL,YBTGw9v3Cl,DFE,386.83 
[92276] COMMIT_SELL,YBTGw9v3Cl 
[92397] ADD,YBTGw9v3Cl,88174.67 
[92445] BUY,YBTGw9v3Cl,KBP,179.53 
[92473] SET_BUY_TRIGGER,YBTGw9v3Cl,MAX,185.54 
[92537] ADD,YBTGw9v3Cl,52917.60 
[92559] QUOTE,YBTGw9v3Cl,SCK 
[92567] CANCEL_SELL,YBTGw9v3Cl 
[92621] SELL,YBTGw9v3Cl,JCQ,292.73 
[92654] COMMIT_SELL,YBTGw9v3Cl 
[92682] SET_SELL_AMOUNT,YBTGw9v3Cl,GRM,56.99 
[92732] BUY,YBTGw9v3Cl,DWU,34.19 
[92768] COMMIT_BUY,YBTGw9v3Cl 
[92887] QUOTE,YBTGw9v3Cl,FVS 
[92991] SET_BUY_TRIGGER,YBTGw9v3Cl,YIU,92.05 
[93043] SET_SELL_AMOUNT,YBTGw9v3Cl,EBS,175.04 
[93151] QUOTE,YBTGw9v3Cl,LMO 
[93277] BUY,YBTGw9v3Cl,ENQ,670.66 
[93321] COMMIT_BUY,YBTGw9v3Cl 
[93327] SET_BUY_AMOUNT,YBTGw9v3Cl,FQP,658.64 
[93402] SET_BUY_TRIGGER,YBTGw9v3Cl,NGB,188.63 
[93633] SET_BUY_AMOUNT,YBTGw9v3Cl,AJR,621.64 
[93661] SET_BUY_TRIGGER,YBTGw9v3Cl,KPU,484.82 
[93669] SET_SELL_AMOUNT,YBTGw9v3Cl,SSF,59.43 
[93974] CANCEL_SET_SELL,YBTGw9v3Cl,SSF 
[93983] ADD,YBTGw9v3Cl,84022.24 
[93998] QUOTE,YBTGw9v3Cl,SQS 
[94160] SET_BUY_TRIGGER,YBTGw9v3Cl,ZCG,125.34 
[94210] ADD,YBTGw9v3Cl,62857.37 
[94223] COMMIT_SELL,YBTGw9v3Cl 
[94252] DISPLAY_SUMMARY,YBTGw9v3Cl 
[94415] SELL,YBTGw9v3Cl,KYX,272.92 
[94541] COMMIT_SELL,YBTGw9v3Cl 
[94622] ADD,YBTGw9v3Cl,67260.91 
[94717] QUOTE,YBTGw9v3Cl,IZS 
[94732] BUY,YBTGw9v3Cl,WQC,675.64 
[94736] QUOTE,YBTGw9v3Cl,VWU 
[94873] SET_BUY_AMOUNT,YBTGw9v3Cl,MXD,463.09 
[94946] SET_BUY_TRIGGER,YBTGw9v3Cl,MQH,405.50 
[95036] SET_BUY_TRIGGER,YBTGw9v3Cl,LFU,92.91 
[95076] SET_SELL_TRIGGER,YBTGw9v3Cl,BSZ,145.65 
[95159] ADD,YBTGw9v3Cl,41136.08 
[95283] CANCEL_SELL,YBTGw9v3Cl 
[95296] DISPLAY_SUMMARY,YBTGw9v3Cl 
[95358] SELL,YBTGw9v3Cl,RGH,429.55 
[95419] COMMIT_SELL,YBTGw9v3Cl 
[95467] SELL,YBTGw9v3Cl,FDI,267.71 
[95610] CANCEL_SELL,YBTGw9v3Cl 
[95615] DISPLAY_SUMMARY,YBTGw9v3Cl 
[95811] ADD,YBTGw9v3Cl,48359.21 
[96110] QUOTE,YBTGw9v3Cl,JDO 
[96270] DISPLAY_SUMMARY,YBTGw9v3Cl 
[96306] BUY,YBTGw9v3Cl,GIX,176.10 
[96468] CANCEL_BUY,YBTGw9v3Cl 
[96554] SELL,YBTGw9v3Cl,AVX,33.05 
[96696] DISPLAY_SUMMARY,YBTGw9v3Cl 
[96792] DISPLAY_SUMMARY,YBTGw9v3Cl 
[96891] ADD,YBTGw9v3Cl,39105.12 
[97052] BUY,YBTGw9v3Cl,QQW,574.66 
[97056] COMMIT_SELL,YBTGw9v3Cl 
[97064] CANCEL_BUY,YBTGw9v3Cl 
[97073] DISPLAY_SUMMARY,YBTGw9v3Cl 
[97076] QUOTE,YBTGw9v3Cl,GIX 
[97551] BUY,YBTGw9v3Cl,XAN,397.69 
[97564] SET_SELL_TRIGGER,YBTGw9v3Cl,FPI,47.25 
[97573] BUY,YBTGw9v3Cl,CBV,731.66 
[97714] CANCEL_BUY,YBTGw9v3Cl 
[97731] SET_SELL_AMOUNT,YBTGw9v3Cl,OPN,513.48 
[97763] SET_SELL_TRIGGER,YBTGw9v3Cl,OPN,52.19 
[97832] SET_SELL_AMOUNT,YBTGw9v3Cl,YJK,150.32 
[97880] SET_SELL_TRIGGER,YBTGw9v3Cl,YJK,116.98 
[98052] DISPLAY_SUMMARY,YBTGw9v3Cl 
[98160] SELL,YBTGw9v3Cl,DFE,182.74 
[98389] COMMIT_SELL,YBTGw9v3Cl 
[98514] SET_SELL_AMOUNT,YBTGw9v3Cl,UBJ,269.28 
[98528] DISPLAY_SUMMARY,YBTGw9v3Cl 
[98540] QUOTE,YBTGw9v3Cl,RQL 
[98641] CANCEL_BUY,YBTGw9v3Cl 
[98677] SET_BUY_TRIGGER,YBTGw9v3Cl,YPW,123.46 
[98806] SELL,YBTGw9v3Cl,YDS,328.56 
[99024] COMMIT_SELL,YBTGw9v3Cl 
[99076] ADD,YBTGw9v3Cl,56401.17 
[99174] BUY,YBTGw9v3Cl,IAV,545.01 
[99311] COMMIT_BUY,YBTGw9v3Cl 
[99379] DISPLAY_SUMMARY,YBTGw9v3Cl 
[99480] ADD,YBTGw9v3Cl,60478.17 
[99625] QUOTE,YBTGw9v3Cl,HHG 
[99800] DISPLAY_SUMMARY,YBTGw9v3Cl 
[99814] SET_BUY_TRIGGER,YBTGw9v3Cl,HHC,64.19 
[99903] QUOTE,YBTGw9v3Cl,PBV 
