[135] ADD,kMcjEkmbDd,59125.79 
[92830] COMMIT_SELL,kMcjEkmbDd 
[92834] ADD,kMcjEkmbDd,108921.20 
[92877] QUOTE,kMcjEkmbDd,HSJ 
[92949] BUY,kMcjEkmbDd,TUO,153.17 
[92977] COMMIT_SELL,kMcjEkmbDd 
[93029] BUY,kMcjEkmbDd,CIP,188.75 
[93120] SET_BUY_AMOUNT,kMcjEkmbDd,QAX,601.86 
[93147] SET_BUY_TRIGGER,kMcjEkmbDd,FQP,387.35 
[93472] COMMIT_SELL,kMcjEkmbDd 
[93549] ADD,kMcjEkmbDd,75662.04 
[93660] BUY,kMcjEkmbDd,BHJ,400.09 
[93677] SELL,kMcjEkmbDd,LFU,177.98 
[93742] DISPLAY_SUMMARY,kMcjEkmbDd 
[93846] CANCEL_SET_BUY,kMcjEkmbDd,EUM 
[94306] SELL,kMcjEkmbDd,VDP,653.42 
[94371] COMMIT_SELL,kMcjEkmbDd 
[94708] ADD,kMcjEkmbDd,69201.52 
[94809] BUY,kMcjEkmbDd,OZT,707.94 
[94875] DISPLAY_SUMMARY,kMcjEkmbDd 
[95019] QUOTE,kMcjEkmbDd,KJD 
[95031] BUY,kMcjEkmbDd,XWZ,133.38 
[95121] SET_SELL_AMOUNT,kMcjEkmbDd,GSW,256.38 
[95236] SET_SELL_TRIGGER,kMcjEkmbDd,GSW,215.06 
[95328] SET_SELL_TRIGGER,kMcjEkmbDd,TVP,76.95 
[95377] DISPLAY_SUMMARY,kMcjEkmbDd 
[95384] QUOTE,kMcjEkmbDd,HTN 
[95406] DISPLAY_SUMMARY,kMcjEkmbDd 
[95436] BUY,kMcjEkmbDd,SQS,394.86 
[95451] QUOTE,kMcjEkmbDd,HZA 
[95481] QUOTE,kMcjEkmbDd,PTC 
[95614] QUOTE,kMcjEkmbDd,OAV 
[95657] QUOTE,kMcjEkmbDd,AJX 
[95732] ADD,kMcjEkmbDd,86064.24 
[95787] BUY,kMcjEkmbDd,UZZ,443.46 
[95874] CANCEL_BUY,kMcjEkmbDd 
[95988] ADD,kMcjEkmbDd,62315.36 
[96289] QUOTE,kMcjEkmbDd,DWX 
[96384] ADD,kMcjEkmbDd,72263.00 
[96464] QUOTE,kMcjEkmbDd,XBL 
[96485] QUOTE,kMcjEkmbDd,HZE 
[96670] CANCEL_BUY,kMcjEkmbDd 
[96820] SET_BUY_AMOUNT,kMcjEkmbDd,JZJ,598.50 
[96929] SET_BUY_TRIGGER,kMcjEkmbDd,DVU,21.77 
[97016] ADD,kMcjEkmbDd,89776.05 
[97257] QUOTE,kMcjEkmbDd,AAC 
[97285] BUY,kMcjEkmbDd,WJS,82.25 
[97533] SET_BUY_TRIGGER,kMcjEkmbDd,VIK,3.64 
[97575] DISPLAY_SUMMARY,kMcjEkmbDd 
[97620] ADD,kMcjEkmbDd,69665.12 
[97777] QUOTE,kMcjEkmbDd,FPI 
[97792] BUY,kMcjEkmbDd,DRP,48.86 
[98345] COMMIT_BUY,kMcjEkmbDd 
[98516] SET_SELL_AMOUNT,kMcjEkmbDd,FDI,634.18 
[98620] SET_SELL_TRIGGER,kMcjEkmbDd,FDI,89.44 
[98693] ADD,kMcjEkmbDd,79780.78 
[98737] QUOTE,kMcjEkmbDd,CTI 
[98775] COMMIT_SELL,kMcjEkmbDd 
[98789] ADD,kMcjEkmbDd,111460.05 
[99422] QUOTE,kMcjEkmbDd,JEA 
[99448] DISPLAY_SUMMARY,kMcjEkmbDd 
[99745] DISPLAY_SUMMARY,kMcjEkmbDd 
[99759] ADD,kMcjEkmbDd,67083.18 
[99805] QUOTE,kMcjEkmbDd,BHP 
[99963] QUOTE,kMcjEkmbDd,KYX 
