[211] ADD,q0Qp5MF3CI,56949.71 
[89588] DISPLAY_SUMMARY,q0Qp5MF3CI 
[89697] BUY,q0Qp5MF3CI,EYY,135.45 
[89756] BUY,q0Qp5MF3CI,LLZ,76.51 
[89818] COMMIT_BUY,q0Qp5MF3CI 
[90297] CANCEL_SET_SELL,q0Qp5MF3CI,GYF 
[90315] DISPLAY_SUMMARY,q0Qp5MF3CI 
[90413] SET_BUY_TRIGGER,q0Qp5MF3CI,OLI,155.69 
[90419] SET_SELL_TRIGGER,q0Qp5MF3CI,LLO,115.64 
[90594] SELL,q0Qp5MF3CI,PRJ,48.47 
[90634] QUOTE,q0Qp5MF3CI,FRB 
[90947] QUOTE,q0Qp5MF3CI,UZZ 
[91232] COMMIT_BUY,q0Qp5MF3CI 
[91244] SET_BUY_TRIGGER,q0Qp5MF3CI,GZQ,120.86 
[91267] SET_BUY_AMOUNT,q0Qp5MF3CI,OPN,685.91 
[91278] SET_BUY_TRIGGER,q0Qp5MF3CI,CXN,147.71 
[91411] BUY,q0Qp5MF3CI,NRY,418.42 
[91595] COMMIT_BUY,q0Qp5MF3CI 
[91751] SET_SELL_TRIGGER,q0Qp5MF3CI,NVX,32.52 
[91773] SET_BUY_AMOUNT,q0Qp5MF3CI,GYF,149.08 
[91783] SET_BUY_TRIGGER,q0Qp5MF3CI,NSW,63.83 
[92021] SET_BUY_AMOUNT,q0Qp5MF3CI,CZQ,66.78 
[92078] QUOTE,q0Qp5MF3CI,VBO 
[92129] CANCEL_SELL,q0Qp5MF3CI 
[92208] ADD,q0Qp5MF3CI,66217.08 
[92546] BUY,q0Qp5MF3CI,FVD,295.64 
[92625] BUY,q0Qp5MF3CI,GAL,93.55 
[92952] CANCEL_SET_SELL,q0Qp5MF3CI,NVN 
[92959] SELL,q0Qp5MF3CI,IQJ,578.49 
[92976] COMMIT_SELL,q0Qp5MF3CI 
[93373] ADD,q0Qp5MF3CI,70492.67 
[93421] BUY,q0Qp5MF3CI,FYR,607.78 
[93434] CANCEL_SELL,q0Qp5MF3CI 
[93546] SET_SELL_AMOUNT,q0Qp5MF3CI,GSW,546.14 
[93764] SET_SELL_TRIGGER,q0Qp5MF3CI,GSW,442.02 
[94032] CANCEL_BUY,q0Qp5MF3CI 
[94130] DISPLAY_SUMMARY,q0Qp5MF3CI 
[94131] DISPLAY_SUMMARY,q0Qp5MF3CI 
[94332] BUY,q0Qp5MF3CI,MDZ,351.92 
[94338] COMMIT_BUY,q0Qp5MF3CI 
[94348] SET_BUY_AMOUNT,q0Qp5MF3CI,DFE,650.41 
[94379] BUY,q0Qp5MF3CI,XRK,518.18 
[94537] BUY,q0Qp5MF3CI,VEN,719.70 
[94577] COMMIT_BUY,q0Qp5MF3CI 
[94698] SELL,q0Qp5MF3CI,AJR,68.76 
[94959] SET_BUY_TRIGGER,q0Qp5MF3CI,SYN,442.73 
[95163] ADD,q0Qp5MF3CI,64844.28 
[95458] CANCEL_SET_BUY,q0Qp5MF3CI,YUL 
[95540] QUOTE,q0Qp5MF3CI,QXE 
[95632] SET_BUY_TRIGGER,q0Qp5MF3CI,NHG,45.86 
[96105] SET_BUY_TRIGGER,q0Qp5MF3CI,LSM,133.84 
[96132] ADD,q0Qp5MF3CI,72992.97 
[96220] CANCEL_SELL,q0Qp5MF3CI 
[96364] QUOTE,q0Qp5MF3CI,EUC 
[96957] COMMIT_SELL,q0Qp5MF3CI 
[96980] ADD,q0Qp5MF3CI,61868.79 
[97237] QUOTE,q0Qp5MF3CI,HBF 
[97336] BUY,q0Qp5MF3CI,SOT,253.07 
[97375] CANCEL_BUY,q0Qp5MF3CI 
[97504] BUY,q0Qp5MF3CI,ZFT,210.58 
[97623] COMMIT_BUY,q0Qp5MF3CI 
[97688] SET_BUY_TRIGGER,q0Qp5MF3CI,YTY,72.13 
[97788] SET_SELL_AMOUNT,q0Qp5MF3CI,HTD,506.66 
[98050] SET_SELL_TRIGGER,q0Qp5MF3CI,HTD,76.22 
[98155] SET_SELL_TRIGGER,q0Qp5MF3CI,QPZ,65.80 
[98244] SET_BUY_AMOUNT,q0Qp5MF3CI,NHG,272.76 
[98563] CANCEL_SET_BUY,q0Qp5MF3CI,WXV 
[98578] SET_BUY_AMOUNT,q0Qp5MF3CI,CZQ,212.04 
[98657] CANCEL_SET_BUY,q0Qp5MF3CI,KVJ 
[98723] SET_BUY_TRIGGER,q0Qp5MF3CI,LLD,46.99 
[98894] SELL,q0Qp5MF3CI,IQJ,403.72 
[98922] COMMIT_SELL,q0Qp5MF3CI 
[98927] DISPLAY_SUMMARY,q0Qp5MF3CI 
[99369] SET_SELL_TRIGGER,q0Qp5MF3CI,KJH,151.04 
[99391] BUY,q0Qp5MF3CI,SCK,162.80 
[99479] SET_SELL_TRIGGER,q0Qp5MF3CI,YOG,6.30 
[99567] ADD,q0Qp5MF3CI,79107.80 
[99571] BUY,q0Qp5MF3CI,FFN,287.34 
[99660] COMMIT_SELL,q0Qp5MF3CI 
