[46] ADD,U4jQmk30QS,86687.09 
[96475] QUOTE,U4jQmk30QS,WYO 
[96560] QUOTE,U4jQmk30QS,AIN 
[96568] DISPLAY_SUMMARY,U4jQmk30QS 
[96624] SET_SELL_TRIGGER,U4jQmk30QS,SSF,195.96 
[96697] DISPLAY_SUMMARY,U4jQmk30QS 
[96767] DISPLAY_SUMMARY,U4jQmk30QS 
[96802] DISPLAY_SUMMARY,U4jQmk30QS 
[96829] ADD,U4jQmk30QS,86900.35 
[96945] QUOTE,U4jQmk30QS,QPZ 
[96955] BUY,U4jQmk30QS,LUD,493.83 
[97015] SET_BUY_AMOUNT,U4jQmk30QS,BCQ,662.89 
[97102] SET_BUY_TRIGGER,U4jQmk30QS,KJD,413.45 
[97229] SET_SELL_TRIGGER,U4jQmk30QS,ETB,24.55 
[97230] DISPLAY_SUMMARY,U4jQmk30QS 
[97275] ADD,U4jQmk30QS,64731.84 
[97339] BUY,U4jQmk30QS,OYX,738.46 
[97410] COMMIT_BUY,U4jQmk30QS 
[97925] SELL,U4jQmk30QS,ZTI,195.85 
[98218] COMMIT_SELL,U4jQmk30QS 
[98225] SELL,U4jQmk30QS,XLK,255.77 
[98405] CANCEL_SET_SELL,U4jQmk30QS,ECL 
[98503] SET_SELL_AMOUNT,U4jQmk30QS,IQJ,570.59 
[98553] CANCEL_SET_SELL,U4jQmk30QS,IQJ 
[98555] ADD,U4jQmk30QS,56473.98 
[98653] DISPLAY_SUMMARY,U4jQmk30QS 
[98928] ADD,U4jQmk30QS,48285.50 
[99055] QUOTE,U4jQmk30QS,ZGR 
[99114] COMMIT_BUY,U4jQmk30QS 
[99236] SELL,U4jQmk30QS,XQC,523.59 
[99461] BUY,U4jQmk30QS,GPM,574.86 
[99735] CANCEL_SELL,U4jQmk30QS 
[99941] SET_SELL_AMOUNT,U4jQmk30QS,RUN,88.51 
