[1] ADD,lLn3fa1FIk,75576.00 
[95261] ADD,lLn3fa1FIk,63437.43 
[95266] BUY,lLn3fa1FIk,EDV,631.34 
[95379] COMMIT_BUY,lLn3fa1FIk 
[95521] DISPLAY_SUMMARY,lLn3fa1FIk 
[95533] ADD,lLn3fa1FIk,74941.92 
[95584] BUY,lLn3fa1FIk,RQF,54.93 
[95837] COMMIT_BUY,lLn3fa1FIk 
[96283] DISPLAY_SUMMARY,lLn3fa1FIk 
[96337] DISPLAY_SUMMARY,lLn3fa1FIk 
[96377] SET_SELL_TRIGGER,lLn3fa1FIk,DBT,28.58 
[96444] BUY,lLn3fa1FIk,KLY,117.10 
[96603] COMMIT_BUY,lLn3fa1FIk 
[96885] DISPLAY_SUMMARY,lLn3fa1FIk 
[96976] SELL,lLn3fa1FIk,QGE,411.17 
[97241] CANCEL_SET_BUY,lLn3fa1FIk,SFR 
[97289] SET_SELL_AMOUNT,lLn3fa1FIk,DFE,296.56 
[97317] SET_SELL_TRIGGER,lLn3fa1FIk,DFE,15.83 
[97483] DISPLAY_SUMMARY,lLn3fa1FIk 
[97515] BUY,lLn3fa1FIk,FMJ,198.18 
[97700] COMMIT_SELL,lLn3fa1FIk 
[97837] DISPLAY_SUMMARY,lLn3fa1FIk 
[97838] ADD,lLn3fa1FIk,94521.21 
[97886] QUOTE,lLn3fa1FIk,AVI 
[98082] SET_BUY_AMOUNT,lLn3fa1FIk,OPN,456.25 
[98086] QUOTE,lLn3fa1FIk,SNU 
[98388] QUOTE,lLn3fa1FIk,MMF 
[98488] SET_SELL_TRIGGER,lLn3fa1FIk,ZRH,184.61 
[98507] DISPLAY_SUMMARY,lLn3fa1FIk 
[98781] QUOTE,lLn3fa1FIk,MWJ 
[98831] SET_SELL_AMOUNT,lLn3fa1FIk,VTY,385.19 
[98861] SET_SELL_TRIGGER,lLn3fa1FIk,VTY,119.92 
[98989] ADD,lLn3fa1FIk,52392.35 
[99056] DISPLAY_SUMMARY,lLn3fa1FIk 
[99206] ADD,lLn3fa1FIk,73985.98 
[99229] BUY,lLn3fa1FIk,EVR,521.29 
[99314] SET_SELL_TRIGGER,lLn3fa1FIk,CMD,25.11 
[99339] SET_SELL_TRIGGER,lLn3fa1FIk,IQJ,42.38 
[99559] SET_SELL_TRIGGER,lLn3fa1FIk,PCK,70.93 
[99603] SET_SELL_AMOUNT,lLn3fa1FIk,QGE,168.39 
[99648] SET_SELL_TRIGGER,lLn3fa1FIk,QGE,154.55 
[99715] CANCEL_SET_BUY,lLn3fa1FIk,JEO 
[99863] ADD,lLn3fa1FIk,74049.66 
[99947] CANCEL_SET_SELL,lLn3fa1FIk,UIE 
[99977] ADD,lLn3fa1FIk,88573.23 
[99978] BUY,lLn3fa1FIk,YCH,27.83 
