[206] ADD,LAu7ZpcWWv,48692.02 
[90684] ADD,LAu7ZpcWWv,64548.70 
[90709] QUOTE,LAu7ZpcWWv,NDJ 
[90741] ADD,LAu7ZpcWWv,82042.89 
[90773] SET_SELL_AMOUNT,LAu7ZpcWWv,RUN,621.09 
[90861] SET_SELL_TRIGGER,LAu7ZpcWWv,RUN,77.87 
[91030] ADD,LAu7ZpcWWv,87593.62 
[91173] BUY,LAu7ZpcWWv,MOM,389.79 
[91198] SET_SELL_TRIGGER,LAu7ZpcWWv,UIE,152.09 
[91236] DISPLAY_SUMMARY,LAu7ZpcWWv 
[91306] DISPLAY_SUMMARY,LAu7ZpcWWv 
[91335] DISPLAY_SUMMARY,LAu7ZpcWWv 
[91604] BUY,LAu7ZpcWWv,ECL,587.89 
[91677] CANCEL_BUY,LAu7ZpcWWv 
[91758] ADD,LAu7ZpcWWv,56667.58 
[91760] COMMIT_SELL,LAu7ZpcWWv 
[91775] DISPLAY_SUMMARY,LAu7ZpcWWv 
[91908] DISPLAY_SUMMARY,LAu7ZpcWWv 
[92107] SET_BUY_AMOUNT,LAu7ZpcWWv,CSZ,677.24 
[92141] SELL,LAu7ZpcWWv,QAX,359.82 
[92183] COMMIT_SELL,LAu7ZpcWWv 
[92231] BUY,LAu7ZpcWWv,QHF,593.94 
[92391] COMMIT_BUY,LAu7ZpcWWv 
[92434] SET_SELL_TRIGGER,LAu7ZpcWWv,KGV,83.29 
[92467] SELL,LAu7ZpcWWv,MFX,708.36 
[92499] SET_SELL_AMOUNT,LAu7ZpcWWv,QJZ,455.13 
[92656] SET_SELL_TRIGGER,LAu7ZpcWWv,QJZ,440.45 
[92861] DISPLAY_SUMMARY,LAu7ZpcWWv 
[92996] SET_BUY_TRIGGER,LAu7ZpcWWv,CBX,590.48 
[93072] ADD,LAu7ZpcWWv,68346.72 
[93185] CANCEL_SET_BUY,LAu7ZpcWWv,OEM 
[93212] DISPLAY_SUMMARY,LAu7ZpcWWv 
[93411] SET_BUY_TRIGGER,LAu7ZpcWWv,BSZ,53.39 
[93413] ADD,LAu7ZpcWWv,65284.49 
[93414] BUY,LAu7ZpcWWv,SYU,381.23 
[93493] COMMIT_BUY,LAu7ZpcWWv 
[93588] BUY,LAu7ZpcWWv,RRE,233.11 
[93592] COMMIT_BUY,LAu7ZpcWWv 
[93627] ADD,LAu7ZpcWWv,85603.76 
[93657] COMMIT_BUY,LAu7ZpcWWv 
[93729] BUY,LAu7ZpcWWv,EMN,544.99 
[93734] CANCEL_BUY,LAu7ZpcWWv 
[93779] SET_BUY_TRIGGER,LAu7ZpcWWv,BRZ,26.13 
[93933] SET_SELL_TRIGGER,LAu7ZpcWWv,ZJG,144.34 
[93982] BUY,LAu7ZpcWWv,SMS,152.66 
[94068] DISPLAY_SUMMARY,LAu7ZpcWWv 
[94098] SET_BUY_AMOUNT,LAu7ZpcWWv,GRM,451.81 
[94141] CANCEL_SET_BUY,LAu7ZpcWWv,JGO 
[94266] ADD,LAu7ZpcWWv,33220.30 
[94316] BUY,LAu7ZpcWWv,DMW,482.16 
[94361] COMMIT_BUY,LAu7ZpcWWv 
[94613] COMMIT_BUY,LAu7ZpcWWv 
[94634] ADD,LAu7ZpcWWv,70860.89 
[94662] QUOTE,LAu7ZpcWWv,JNO 
[94767] BUY,LAu7ZpcWWv,NIR,528.59 
[95237] COMMIT_BUY,LAu7ZpcWWv 
[95337] SET_SELL_AMOUNT,LAu7ZpcWWv,TVI,691.16 
[95400] SET_SELL_TRIGGER,LAu7ZpcWWv,TVI,54.91 
[95444] QUOTE,LAu7ZpcWWv,WYO 
[95628] QUOTE,LAu7ZpcWWv,PXF 
[95772] DISPLAY_SUMMARY,LAu7ZpcWWv 
[95775] SET_SELL_AMOUNT,LAu7ZpcWWv,VTY,131.19 
[95870] SET_SELL_TRIGGER,LAu7ZpcWWv,VTY,9.99 
[95991] SET_BUY_AMOUNT,LAu7ZpcWWv,CEC,47.76 
[96157] SET_BUY_TRIGGER,LAu7ZpcWWv,YWC,45.29 
[96488] DISPLAY_SUMMARY,LAu7ZpcWWv 
[96613] SET_BUY_TRIGGER,LAu7ZpcWWv,DIX,74.41 
[96640] BUY,LAu7ZpcWWv,IKK,493.13 
[96641] QUOTE,LAu7ZpcWWv,LUD 
[96747] QUOTE,LAu7ZpcWWv,BTP 
[96762] BUY,LAu7ZpcWWv,HNW,603.58 
[96807] SET_BUY_TRIGGER,LAu7ZpcWWv,UUJ,92.04 
[96821] SET_SELL_TRIGGER,LAu7ZpcWWv,PTP,141.64 
[96851] DISPLAY_SUMMARY,LAu7ZpcWWv 
[96987] BUY,LAu7ZpcWWv,DWX,497.46 
[96996] CANCEL_BUY,LAu7ZpcWWv 
[97103] QUOTE,LAu7ZpcWWv,VNN 
[97121] SET_BUY_AMOUNT,LAu7ZpcWWv,XLK,355.92 
[97122] SET_BUY_TRIGGER,LAu7ZpcWWv,FLY,146.79 
[97182] CANCEL_SET_SELL,LAu7ZpcWWv,IFU 
[97280] BUY,LAu7ZpcWWv,HEJ,337.18 
[97408] COMMIT_BUY,LAu7ZpcWWv 
[97525] DISPLAY_SUMMARY,LAu7ZpcWWv 
[97605] BUY,LAu7ZpcWWv,KNM,194.52 
[97659] SET_BUY_AMOUNT,LAu7ZpcWWv,JQO,36.72 
[97721] SET_BUY_TRIGGER,LAu7ZpcWWv,JYV,4.90 
[97722] ADD,LAu7ZpcWWv,70449.18 
[97768] SET_BUY_TRIGGER,LAu7ZpcWWv,AVI,66.30 
[97776] BUY,LAu7ZpcWWv,FIW,697.46 
[97834] CANCEL_SET_SELL,LAu7ZpcWWv,GED 
[97859] SET_SELL_TRIGGER,LAu7ZpcWWv,FIY,154.01 
[97863] SELL,LAu7ZpcWWv,XLK,322.42 
[97868] COMMIT_SELL,LAu7ZpcWWv 
[98250] SET_BUY_AMOUNT,LAu7ZpcWWv,BJL,318.11 
[98373] QUOTE,LAu7ZpcWWv,KPP 
[98898] SET_SELL_TRIGGER,LAu7ZpcWWv,KKI,15.26 
[98975] BUY,LAu7ZpcWWv,JVE,221.66 
[99120] SET_BUY_TRIGGER,LAu7ZpcWWv,TSU,238.42 
[99188] SELL,LAu7ZpcWWv,LZV,140.32 
[99226] COMMIT_SELL,LAu7ZpcWWv 
[99287] SET_BUY_TRIGGER,LAu7ZpcWWv,FFZ,90.01 
[99346] QUOTE,LAu7ZpcWWv,BHQ 
[99445] BUY,LAu7ZpcWWv,TJL,360.28 
[99651] COMMIT_BUY,LAu7ZpcWWv 
[99742] DISPLAY_SUMMARY,LAu7ZpcWWv 
[99775] SELL,LAu7ZpcWWv,AJR,374.82 
