[118] ADD,XwKSBoZ6lO,73378.95 
[90127] DISPLAY_SUMMARY,XwKSBoZ6lO 
[90156] SET_BUY_TRIGGER,XwKSBoZ6lO,RKY,66.15 
[90166] DISPLAY_SUMMARY,XwKSBoZ6lO 
[90387] BUY,XwKSBoZ6lO,BFU,322.14 
[90405] COMMIT_BUY,XwKSBoZ6lO 
[90418] ADD,XwKSBoZ6lO,48773.07 
[90540] SELL,XwKSBoZ6lO,EBS,377.13 
[90848] CANCEL_SET_BUY,XwKSBoZ6lO,XBL 
[91119] SET_SELL_AMOUNT,XwKSBoZ6lO,RNK,367.98 
[91259] SET_SELL_TRIGGER,XwKSBoZ6lO,RNK,289.64 
[91780] QUOTE,XwKSBoZ6lO,XPX 
[92104] CANCEL_BUY,XwKSBoZ6lO 
[92309] SELL,XwKSBoZ6lO,VTY,206.27 
[92511] COMMIT_SELL,XwKSBoZ6lO 
[92545] QUOTE,XwKSBoZ6lO,RQF 
[92689] QUOTE,XwKSBoZ6lO,KHY 
[92780] QUOTE,XwKSBoZ6lO,XNZ 
[92789] CANCEL_BUY,XwKSBoZ6lO 
[92822] BUY,XwKSBoZ6lO,ZUV,312.48 
[92924] CANCEL_BUY,XwKSBoZ6lO 
[93173] DISPLAY_SUMMARY,XwKSBoZ6lO 
[93174] DISPLAY_SUMMARY,XwKSBoZ6lO 
[93234] SET_SELL_AMOUNT,XwKSBoZ6lO,VTY,629.68 
[93309] SET_SELL_TRIGGER,XwKSBoZ6lO,VTY,533.26 
[93604] SET_SELL_TRIGGER,XwKSBoZ6lO,LNJ,37.98 
[93614] QUOTE,XwKSBoZ6lO,OYS 
[93621] SET_BUY_AMOUNT,XwKSBoZ6lO,VTY,528.14 
[93743] SET_BUY_TRIGGER,XwKSBoZ6lO,WFR,515.08 
[93837] QUOTE,XwKSBoZ6lO,OTQ 
[93921] QUOTE,XwKSBoZ6lO,YBP 
[93964] QUOTE,XwKSBoZ6lO,VNO 
[93973] ADD,XwKSBoZ6lO,78876.50 
[94086] BUY,XwKSBoZ6lO,ZJQ,78.62 
[94114] CANCEL_BUY,XwKSBoZ6lO 
[94313] SET_SELL_AMOUNT,XwKSBoZ6lO,UTV,126.91 
[94445] BUY,XwKSBoZ6lO,JIO,332.15 
[94510] SET_BUY_AMOUNT,XwKSBoZ6lO,YDS,591.94 
[94564] DISPLAY_SUMMARY,XwKSBoZ6lO 
[94731] DISPLAY_SUMMARY,XwKSBoZ6lO 
[94868] ADD,XwKSBoZ6lO,70235.28 
[94995] QUOTE,XwKSBoZ6lO,ZZD 
[95013] SET_BUY_AMOUNT,XwKSBoZ6lO,XQC,668.01 
[95233] QUOTE,XwKSBoZ6lO,WJP 
[95255] BUY,XwKSBoZ6lO,TTY,219.90 
[95256] COMMIT_BUY,XwKSBoZ6lO 
[95264] SET_BUY_TRIGGER,XwKSBoZ6lO,DPG,10.11 
[95271] DISPLAY_SUMMARY,XwKSBoZ6lO 
[95367] SELL,XwKSBoZ6lO,TVI,705.32 
[95650] CANCEL_SELL,XwKSBoZ6lO 
[95677] DISPLAY_SUMMARY,XwKSBoZ6lO 
[95728] DISPLAY_SUMMARY,XwKSBoZ6lO 
[95797] BUY,XwKSBoZ6lO,YNY,691.71 
[95962] CANCEL_SET_SELL,XwKSBoZ6lO,UTV 
[95965] SELL,XwKSBoZ6lO,EBS,58.70 
[96020] QUOTE,XwKSBoZ6lO,JHY 
[96103] COMMIT_BUY,XwKSBoZ6lO 
[96159] ADD,XwKSBoZ6lO,66776.28 
[96189] BUY,XwKSBoZ6lO,IQJ,742.64 
[96391] QUOTE,XwKSBoZ6lO,IFC 
[96547] ADD,XwKSBoZ6lO,114655.34 
[96572] QUOTE,XwKSBoZ6lO,YBP 
[96576] COMMIT_SELL,XwKSBoZ6lO 
[96679] QUOTE,XwKSBoZ6lO,IFI 
[96800] QUOTE,XwKSBoZ6lO,VIG 
[96811] QUOTE,XwKSBoZ6lO,QSS 
[96858] BUY,XwKSBoZ6lO,ZSV,190.25 
[96922] COMMIT_BUY,XwKSBoZ6lO 
[97070] SELL,XwKSBoZ6lO,PTP,109.01 
[97095] COMMIT_BUY,XwKSBoZ6lO 
[97183] BUY,XwKSBoZ6lO,LNJ,17.61 
[97198] COMMIT_BUY,XwKSBoZ6lO 
[97443] SET_SELL_AMOUNT,XwKSBoZ6lO,AJR,223.73 
[97497] SET_SELL_TRIGGER,XwKSBoZ6lO,AJR,17.77 
[97612] QUOTE,XwKSBoZ6lO,SWJ 
[97749] ADD,XwKSBoZ6lO,46098.99 
[97802] SELL,XwKSBoZ6lO,LFU,181.84 
[97804] QUOTE,XwKSBoZ6lO,JPP 
[97821] SET_BUY_TRIGGER,XwKSBoZ6lO,WTL,65.11 
[97999] DISPLAY_SUMMARY,XwKSBoZ6lO 
[98004] SET_BUY_AMOUNT,XwKSBoZ6lO,CEC,119.94 
[98006] SET_BUY_TRIGGER,XwKSBoZ6lO,BBC,60.26 
[98095] QUOTE,XwKSBoZ6lO,ZAM 
[98163] DISPLAY_SUMMARY,XwKSBoZ6lO 
[98200] SET_BUY_TRIGGER,XwKSBoZ6lO,YBO,174.96 
[98231] SELL,XwKSBoZ6lO,JVT,6.02 
[98368] COMMIT_BUY,XwKSBoZ6lO 
[98633] CANCEL_SET_SELL,XwKSBoZ6lO,EYY 
[98741] DISPLAY_SUMMARY,XwKSBoZ6lO 
[98829] DISPLAY_SUMMARY,XwKSBoZ6lO 
[99047] SET_BUY_AMOUNT,XwKSBoZ6lO,KES,300.99 
[99083] SELL,XwKSBoZ6lO,QPR,563.90 
[99220] COMMIT_SELL,XwKSBoZ6lO 
[99272] DISPLAY_SUMMARY,XwKSBoZ6lO 
[99330] ADD,XwKSBoZ6lO,71972.66 
[99593] DISPLAY_SUMMARY,XwKSBoZ6lO 
[99640] SET_BUY_AMOUNT,XwKSBoZ6lO,MXD,717.76 
[99704] CANCEL_SET_BUY,XwKSBoZ6lO,KVJ 
[99758] ADD,XwKSBoZ6lO,76710.47 
