[19] ADD,3mEsf51UBo,43717.20 
[96016] COMMIT_BUY,3mEsf51UBo 
[96049] ADD,3mEsf51UBo,59701.09 
[96115] CANCEL_SELL,3mEsf51UBo 
[96224] SET_BUY_TRIGGER,3mEsf51UBo,DWF,63.46 
[96228] SET_BUY_AMOUNT,3mEsf51UBo,YJK,374.25 
[96388] SET_BUY_TRIGGER,3mEsf51UBo,ZMK,250.34 
[96531] ADD,3mEsf51UBo,63973.92 
[96584] QUOTE,3mEsf51UBo,TUO 
[96589] QUOTE,3mEsf51UBo,ZDB 
[96629] DISPLAY_SUMMARY,3mEsf51UBo 
[96664] QUOTE,3mEsf51UBo,RQS 
[96837] QUOTE,3mEsf51UBo,SEW 
[96927] BUY,3mEsf51UBo,BUL,554.99 
[97023] COMMIT_BUY,3mEsf51UBo 
[97078] DISPLAY_SUMMARY,3mEsf51UBo 
[97154] DISPLAY_SUMMARY,3mEsf51UBo 
[97253] SET_BUY_AMOUNT,3mEsf51UBo,XXQ,669.76 
[97279] SET_BUY_TRIGGER,3mEsf51UBo,PVZ,36.94 
[97305] BUY,3mEsf51UBo,IZS,391.29 
[97400] CANCEL_SELL,3mEsf51UBo 
[97484] QUOTE,3mEsf51UBo,FVS 
[97635] BUY,3mEsf51UBo,IKK,443.84 
[97642] CANCEL_BUY,3mEsf51UBo 
[97817] SET_BUY_AMOUNT,3mEsf51UBo,KES,575.40 
[97877] SET_BUY_TRIGGER,3mEsf51UBo,GTN,435.69 
[97896] ADD,3mEsf51UBo,89210.70 
[97923] QUOTE,3mEsf51UBo,DWK 
[98188] SELL,3mEsf51UBo,JZJ,32.84 
[98297] ADD,3mEsf51UBo,16852.94 
[98353] QUOTE,3mEsf51UBo,FQG 
[98560] SET_BUY_TRIGGER,3mEsf51UBo,VDP,152.41 
[98577] ADD,3mEsf51UBo,75701.92 
[98665] BUY,3mEsf51UBo,COE,560.10 
[98825] SET_SELL_AMOUNT,3mEsf51UBo,SUS,126.72 
[98905] BUY,3mEsf51UBo,HIW,656.42 
[98987] COMMIT_BUY,3mEsf51UBo 
[99215] ADD,3mEsf51UBo,72065.39 
[99323] BUY,3mEsf51UBo,URA,121.91 
[99433] BUY,3mEsf51UBo,YEW,463.37 
[99533] CANCEL_BUY,3mEsf51UBo 
[99618] SET_SELL_AMOUNT,3mEsf51UBo,RUN,171.94 
[99782] SELL,3mEsf51UBo,SQI,250.50 
[99849] COMMIT_SELL,3mEsf51UBo 
[99889] CANCEL_SELL,3mEsf51UBo 
[99923] DISPLAY_SUMMARY,3mEsf51UBo 
