[12] ADD,F3iruDCI8F,102869.70 
[96729] SELL,F3iruDCI8F,SSF,188.17 
[96921] CANCEL_SELL,F3iruDCI8F 
[97246] ADD,F3iruDCI8F,68776.88 
[97351] QUOTE,F3iruDCI8F,IQZ 
[97382] QUOTE,F3iruDCI8F,SCW 
[97385] QUOTE,F3iruDCI8F,WOJ 
[97464] CANCEL_SELL,F3iruDCI8F 
[97571] SELL,F3iruDCI8F,SSF,91.34 
[97758] COMMIT_SELL,F3iruDCI8F 
[97822] ADD,F3iruDCI8F,75533.00 
[97950] BUY,F3iruDCI8F,HZE,373.94 
[97983] COMMIT_BUY,F3iruDCI8F 
[98058] DISPLAY_SUMMARY,F3iruDCI8F 
[98121] SET_SELL_TRIGGER,F3iruDCI8F,QVK,166.49 
[98165] BUY,F3iruDCI8F,BMQ,706.29 
[98457] COMMIT_BUY,F3iruDCI8F 
[98460] SELL,F3iruDCI8F,ZYR,715.30 
[98644] CANCEL_SELL,F3iruDCI8F 
[98783] QUOTE,F3iruDCI8F,VMK 
[99274] CANCEL_SELL,F3iruDCI8F 
[99318] BUY,F3iruDCI8F,KHD,581.56 
[99452] COMMIT_BUY,F3iruDCI8F 
[99501] ADD,F3iruDCI8F,77924.85 
[99550] BUY,F3iruDCI8F,TGY,696.98 
[99725] SELL,F3iruDCI8F,ZYR,549.31 
[99737] COMMIT_SELL,F3iruDCI8F 
[99771] BUY,F3iruDCI8F,PJJ,491.21 
[99780] COMMIT_BUY,F3iruDCI8F 
[99811] SET_SELL_TRIGGER,F3iruDCI8F,NVX,178.99 
[99868] SET_BUY_TRIGGER,F3iruDCI8F,JPP,189.14 
[99926] COMMIT_SELL,F3iruDCI8F 
[99940] ADD,F3iruDCI8F,51927.47 
