[76] ADD,vRUafgIjuV,104692.95 
[94370] BUY,vRUafgIjuV,OYX,224.98 
[94405] CANCEL_BUY,vRUafgIjuV 
[94436] DISPLAY_SUMMARY,vRUafgIjuV 
[94550] ADD,vRUafgIjuV,26288.94 
[94580] BUY,vRUafgIjuV,ZFJ,189.21 
[94685] COMMIT_BUY,vRUafgIjuV 
[94703] SET_BUY_AMOUNT,vRUafgIjuV,XLK,339.01 
[94801] SET_BUY_TRIGGER,vRUafgIjuV,FZU,180.18 
[94910] QUOTE,vRUafgIjuV,JNO 
[95079] SET_BUY_TRIGGER,vRUafgIjuV,LQN,73.40 
[95109] QUOTE,vRUafgIjuV,VVO 
[95204] BUY,vRUafgIjuV,ZYF,315.46 
[95302] QUOTE,vRUafgIjuV,LEA 
[95402] BUY,vRUafgIjuV,JTX,497.49 
[95479] COMMIT_BUY,vRUafgIjuV 
[95538] BUY,vRUafgIjuV,LSG,378.70 
[95576] DISPLAY_SUMMARY,vRUafgIjuV 
[95803] BUY,vRUafgIjuV,YUR,337.32 
[95906] QUOTE,vRUafgIjuV,SSF 
[96348] QUOTE,vRUafgIjuV,XPX 
[96354] QUOTE,vRUafgIjuV,PTP 
[96478] SET_BUY_TRIGGER,vRUafgIjuV,OQW,197.41 
[96637] DISPLAY_SUMMARY,vRUafgIjuV 
[96706] ADD,vRUafgIjuV,89931.95 
[96721] SET_BUY_TRIGGER,vRUafgIjuV,UZZ,38.28 
[96752] SET_SELL_TRIGGER,vRUafgIjuV,DWX,116.07 
[96813] SELL,vRUafgIjuV,YDS,628.79 
[96943] COMMIT_SELL,vRUafgIjuV 
[97210] CANCEL_BUY,vRUafgIjuV 
[97274] SET_BUY_TRIGGER,vRUafgIjuV,JRJ,54.47 
[97381] SELL,vRUafgIjuV,CSZ,364.23 
[97771] DISPLAY_SUMMARY,vRUafgIjuV 
[97890] ADD,vRUafgIjuV,71746.08 
[97944] QUOTE,vRUafgIjuV,WCY 
[97954] ADD,vRUafgIjuV,70738.40 
[98180] QUOTE,vRUafgIjuV,GJQ 
[98220] CANCEL_SET_BUY,vRUafgIjuV,FUR 
[98237] ADD,vRUafgIjuV,47129.44 
[98262] BUY,vRUafgIjuV,FMJ,239.57 
[98293] COMMIT_BUY,vRUafgIjuV 
[98313] DISPLAY_SUMMARY,vRUafgIjuV 
[98382] BUY,vRUafgIjuV,MUN,115.08 
[98479] CANCEL_BUY,vRUafgIjuV 
[98615] CANCEL_BUY,vRUafgIjuV 
[98643] DISPLAY_SUMMARY,vRUafgIjuV 
[98645] BUY,vRUafgIjuV,JMX,105.70 
[98674] COMMIT_BUY,vRUafgIjuV 
[98727] DISPLAY_SUMMARY,vRUafgIjuV 
[98893] CANCEL_SET_BUY,vRUafgIjuV,SKV 
[98925] ADD,vRUafgIjuV,51974.63 
[99014] QUOTE,vRUafgIjuV,FOV 
[99023] SET_SELL_AMOUNT,vRUafgIjuV,AJR,246.39 
[99042] SET_SELL_TRIGGER,vRUafgIjuV,AJR,201.53 
[99095] BUY,vRUafgIjuV,OEN,680.02 
[99103] COMMIT_BUY,vRUafgIjuV 
[99185] SET_BUY_TRIGGER,vRUafgIjuV,FCH,29.43 
[99243] ADD,vRUafgIjuV,71712.40 
[99494] BUY,vRUafgIjuV,ZWZ,424.51 
[99535] CANCEL_BUY,vRUafgIjuV 
[99575] ADD,vRUafgIjuV,48600.69 
[99585] BUY,vRUafgIjuV,HQU,667.29 
[99723] CANCEL_BUY,vRUafgIjuV 
[99968] CANCEL_SELL,vRUafgIjuV 
